"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Fessenheim Nuclear Power Plant","2","1,760","France","47°54′11″N 07°33′47″E﻿ / ﻿47.90306°N 7.56306°E﻿ / 47.90306; 7.56306﻿ (Fessenheim Nuclear Power Plant)",""
"Flamanville Nuclear Power Plant","2","2,660[note 9]","France","49°32′11″N 01°52′54″W﻿ / ﻿49.53639°N 1.88167°W﻿ / 49.53639; -1.88167﻿ (Flamanville Nuclear Power Station)",""
"Forsmark Nuclear Power Plant","3","3,138","Sweden","60°24′12″N 18°10′00″E﻿ / ﻿60.40333°N 18.16667°E﻿ / 60.40333; 18.16667﻿ (Forsmark Nuclear Power Station)",""
"Fukushima Daini","4","4,400","Japan","37°19′10″N 141°01′16″E﻿ / ﻿37.31944°N 141.02111°E﻿ / 37.31944; 141.02111﻿ (Fukushima Daini Nuclear Power Plant)",""
"Fuqing Nuclear Power Plant","2","2,000[note 10]","China","25°26′39″N 119°26′46″E﻿ / ﻿25.44417°N 119.44611°E﻿ / 25.44417; 119.44611﻿ (Fuqing Nuclear Power Plant)",""
"Genkai Nuclear Power Plant","3","2,783[note 11]","Japan","33°30′56″N 129°50′14″E﻿ / ﻿33.51556°N 129.83722°E﻿ / 33.51556; 129.83722﻿ (Genkai Nuclear Power Station)",""
"Golfech Nuclear Power Plant","2","2,620","France","44°06′24″N 00°50′43″E﻿ / ﻿44.10667°N 0.84528°E﻿ / 44.10667; 0.84528﻿ (Golfech Nuclear Power Station)",""
"Grand Gulf Nuclear Generating Station","1","1,266","United States","32°0′24″N 91°2′54″W﻿ / ﻿32.00667°N 91.04833°W﻿ / 32.00667; -91.04833﻿ (Grand Gulf Nuclear Generating Station)",""
"Gravelines","6","5,460","France","51°00′55″N 02°08′10″E﻿ / ﻿51.01528°N 2.13611°E﻿ / 51.01528; 2.13611﻿ (Gravelines Nuclear Power Station)",""
"Grohnde Nuclear Power Plant","1","1,360","Germany","52°02′07″N 09°24′48″E﻿ / ﻿52.03528°N 9.41333°E﻿ / 52.03528; 9.41333﻿ (Grohnde Nuclear Power Station)",""
"Gundremmingen Nuclear Power Plant","2","1,972[note 12]","Germany","48°30′53″N 10°24′08″E﻿ / ﻿48.51472°N 10.40222°E﻿ / 48.51472; 10.40222﻿ (Gundremmingen Nuclear Power Station)",""
"Hamaoka Nuclear Power Plant","3","3,473[note 13]","Japan","34°37′25″N 138°08′33″E﻿ / ﻿34.62361°N 138.14250°E﻿ / 34.62361; 138.14250﻿ (Hamaoka Nuclear Power Station)",""
"Hanbit Nuclear Power Station","6","5,875","South Korea","35°24′54″N 126°25′26″E﻿ / ﻿35.41500°N 126.42389°E﻿ / 35.41500; 126.42389﻿ (Hanbit Nuclear Power Plant)",""
"Hanul Nuclear Power Plant","6","5,881","South Korea","37°5′34″N 129°23′1″E﻿ / ﻿37.09278°N 129.38361°E﻿ / 37.09278; 129.38361﻿ (Hanul Nuclear Power Plant)",""
"Hartlepool nuclear power station","2","1,190","United Kingdom","54°38′06″N 01°10′51″W﻿ / ﻿54.63500°N 1.18083°W﻿ / 54.63500; -1.18083﻿ (Hartlepool Nuclear Power Station)",""
"Heysham nuclear power station","4","2,400","United Kingdom","54°01′44″N 02°54′58″W﻿ / ﻿54.02889°N 2.91611°W﻿ / 54.02889; -2.91611﻿ (Heysham nuclear power station)",""
"Higashidōri Nuclear Power Plant","1","1,067","Japan","41°11′17″N 141°23′25″E﻿ / ﻿41.18806°N 141.39028°E﻿ / 41.18806; 141.39028﻿ (Higashidōri Nuclear Power Station)",""
"Hongyanhe Nuclear Power Plant","3","3,122[note 14]","China","39°47′52″N 121°28′19″E﻿ / ﻿39.79778°N 121.47194°E﻿ / 39.79778; 121.47194﻿ (Hongyanhe Nuclear Power Plant)",""
"Hope Creek Nuclear Generating Station","1","1,191","United States","39°28′04″N 75°32′17″W﻿ / ﻿39.46778°N 75.53806°W﻿ / 39.46778; -75.53806﻿ (Hope Creek Nuclear Power Station)",""
"Ikata Nuclear Power Plant","3","1,922","Japan","33°29′27″N 132°18′41″E﻿ / ﻿33.49083°N 132.31139°E﻿ / 33.49083; 132.31139﻿ (Ikata Nuclear Power Station)",""
"Indian Point Energy Center","2","2,062[note 15]","United States","41°16′11″N 73°57′08″W﻿ / ﻿41.26972°N 73.95222°W﻿ / 41.26972; -73.95222﻿ (Indian Point Energy Center)",""
"Isar Nuclear Power Plant","2","1,410[note 16]","Germany","48°36′20″N 12°17′35″E﻿ / ﻿48.60556°N 12.29306°E﻿ / 48.60556; 12.29306﻿ (Isar Nuclear Power Station)",""
"Joseph M. Farley Nuclear Generating Station","2","1,711","United States","31°13′23″N 85°06′42″W﻿ / ﻿31.22306°N 85.11167°W﻿ / 31.22306; -85.11167﻿ (Joseph Farley Nuclear Power Station)",""
"Kalinin Nuclear Power Plant","4","3,800","Russia","57°54′20″N 35°03′37″E﻿ / ﻿57.90556°N 35.06028°E﻿ / 57.90556; 35.06028﻿ (Kalinin Nuclear Power Station)",""
"Kashiwazaki-Kariwa Nuclear Power Plant","7","7,965[note 17]","Japan","37°25′45″N 138°35′43″E﻿ / ﻿37.42917°N 138.59528°E﻿ / 37.42917; 138.59528﻿ (Kashiwazaki-Kariwa Nuclear Power Plant)",""
"Khmelnitskiy Nuclear Power Plant","2","1,900[note 18]","Ukraine","50°18′5″N 26°38′59″E﻿ / ﻿50.30139°N 26.64972°E﻿ / 50.30139; 26.64972﻿ (Khmelnitskiy Nuclear Power Plant)",""
"Koeberg Nuclear Power Station","2","1,830","South Africa","33°40′35″S 18°25′55″E﻿ / ﻿33.67639°S 18.43194°E﻿ / -33.67639; 18.43194﻿ (Koeberg Nuclear Power Station)",""
"Kola Nuclear Power Plant","4","1,644","Russia","67°28′00″N 32°28′00″E﻿ / ﻿67.46667°N 32.46667°E﻿ / 67.46667; 32.46667﻿ (Kola Nuclear Power Station)",""
"Kori Nuclear Power Plant","6","3,227","South Korea","35°19′01″N 129°18′00″E﻿ / ﻿35.31694°N 129.30000°E﻿ / 35.31694; 129.30000﻿ (Kori Nuclear Power Station)",""
"Kozloduy Nuclear Power Plant","2","1,906[note 19]","Bulgaria","43°44′46″N 23°46′14″E﻿ / ﻿43.74611°N 23.77056°E﻿ / 43.74611; 23.77056﻿ (Kozloduy Nuclear Power Station)",""
"Kuosheng Nuclear Power Plant","2","1,933","Taiwan","25°12′11″N 121°39′46″E﻿ / ﻿25.20306°N 121.66278°E﻿ / 25.20306; 121.66278﻿ (Kuosheng Nuclear Power Plant)",""
"Kudankulam Nuclear Power Plant","1","1,000[note 20]","India","8°10′06″N 77°42′45″E﻿ / ﻿8.16833°N 77.71250°E﻿ / 8.16833; 77.71250﻿ (Koodankulam Nuclear Power Plant)",""
"Kursk Nuclear Power Plant","4","3,700","Russia","51°40′30″N 35°36′20″E﻿ / ﻿51.67500°N 35.60556°E﻿ / 51.67500; 35.60556﻿ (Kursk Nuclear Power Station)",""
